Datum;Grootboekrekening;Omschrijving;Relatie;Debit;Credit
14-10-2025;1601 - Btw verkoop, laag tarief (9%);Westercluft 134 Steenwijk 2025-10 + borg;50408 - People21 Services BV;; 216,44 
06-10-2025;1200 - Debiteuren;Dieptol 63 Steenwijk  2025-10 + borg credit;100239 - Kapitein & Personeel B.V;; 7.834,75 
17-10-2025;1600 - Btw verkoop, hoog tarief (21%);Putter 42 Etten Leur, afrekening + borg;50286 - Employ Facilitair B.V.;; 154,35 
02-10-2025;1165 - Borg;Borg;50170 - H.T.C. Facility Services B.V.;; 3.250,00 
15-10-2025;1200 - Debiteuren;Sint Annalandstraat 116 Rotterdam borg correctie;100174 - Workforce Housing Holland B.V.; 1.900,00 ;
06-10-2025;1601 - Btw verkoop, laag tarief (9%);Pastoor Gillis straat 81a  Rijen 2025-08 + borg;50347 - Housing en Transport Facilities B.V.;; 181,08 
15-10-2025;1200 - Debiteuren;Sint Annalandstraat 116 Rotterdam borg correctie;100237 - Workforce Housing International B.V;; 1.900,00 
06-10-2025;1000 - Kas;Dieptol 63 Steenwijk  2025-10 + borg credit;100239 - Kapitein & Personeel B.V;; 7.834,75 
17-10-2025;1200 - Debiteuren;Besterdring 6 Tilburg afrekening + borg;100151 - 4 Homes B.V.;; 2.930,45 
07-10-2025;1200 - Debiteuren;Plaats 10 Montfoort 2025-10 + borg;100137 - Estra Logistics Systems B.V.; 5.462,77 ;
17-10-2025;1200 - Debiteuren;Putter 42 Etten Leur, afrekening + borg;50286 - Employ Facilitair B.V.;; 1.460,65 
17-10-2025;1600 - Btw verkoop, hoog tarief (21%);Kerkweg 9a [huis 357] Hensbroek afrekening + borg;50314 - NL Realty B.V.; 49,23 ;
09-10-2025;1600 - Btw verkoop, hoog tarief (21%);Lavendelpad 6 's-Gravendeel 2025-10 + borg;50154 - OJP B.V.;; 78,75 
09-10-2025;1601 - Btw verkoop, laag tarief (9%);Lavendelpad 6 's-Gravendeel 2025-10 + borg;50154 - OJP B.V.;; 708,48 
17-10-2025;1600 - Btw verkoop, hoog tarief (21%);Beeklaan 294 Den Haag afrekening + borg;50347 - Housing en Transport Facilities B.V.;; 700,23 
06-10-2025;1200 - Debiteuren;Dieptol 63 Steenwijk  2025-10 + borg;100244 - Kapitan Workers Sp. Z.o.o.; 7.834,75 ;
17-10-2025;1600 - Btw verkoop, hoog tarief (21%);Kerkweg 9a [huis 348] Hensbroek afrekening + borg;100101 - JJM Personeel B.V.; 33,05 ;
22-10-2025;1200 - Debiteuren;Miltonstraat 55  Rotterdam 2025-11 + borg;100089 - Uitzendbureau Bakker B.V.; 3.514,50 ;
07-10-2025;1200 - Debiteuren;Groenelaan 30B Schiedam Borg + afrek gedeeltelijke credit;100177 - Flexbo B.V.;; 3.085,58 
22-10-2025;1600 - Btw verkoop, hoog tarief (21%);Kruiningenstraat 152 Rotterdam 2025-11 + borg;100155 - Light Personeelsdiensten BV;; 105,00 
06-10-2025;1601 - Btw verkoop, laag tarief (9%);Pastoor Gillis straat 81a  Rijen 2025-08 + borg debet;50347 - Housing en Transport Facilities B.V.;; 181,08 
06-10-2025;1200 - Debiteuren;Pastoor Gillis straat 81a  Rijen 2025-08 + borg;50347 - Housing en Transport Facilities B.V.; 6.984,98 ;
14-10-2025;1200 - Debiteuren;Westercluft 134 Steenwijk 2025-10 + borg;50408 - People21 Services BV; 7.077,72 ;
22-10-2025;1601 - Btw verkoop, laag tarief (9%);Kruiningenstraat 152 Rotterdam 2025-11 + borg;100155 - Light Personeelsdiensten BV;; 216,00 
14-10-2025;1600 - Btw verkoop, hoog tarief (21%);Westercluft 134 Steenwijk 2025-10 + borg;50408 - People21 Services BV;; 196,35 
07-10-2025;1601 - Btw verkoop, laag tarief (9%);Dieptol 63 Steenwijk  2025-10 + borg;100247 - Kajuit;; 273,40 
07-10-2025;1600 - Btw verkoop, hoog tarief (21%);Kerkweg 9a [huis 348] Hensbroek 2025-10 + borg;100151 - 4 Homes B.V.;; 128,10 
07-10-2025;1200 - Debiteuren;Dieptol 63 Steenwijk  2025-10 + borg;100247 - Kajuit; 7.548,96 ;
17-10-2025;1200 - Debiteuren;Kerkweg 9a [huis 342] Hensbroek afrekening + borg;50314 - NL Realty B.V.;; 3.385,60 
06-10-2025;1200 - Debiteuren;Dieptol 63 Steenwijk  2025-10 + borg credit;100239 - Kapitein & Personeel B.V; 7.834,75 ;
22-10-2025;1601 - Btw verkoop, laag tarief (9%);Middelrode 8  Rotterdam 2025-11  + borg;100089 - Uitzendbureau Bakker B.V.;; 159,78 
06-10-2025;1601 - Btw verkoop, laag tarief (9%);Dieptol 63 Steenwijk  2025-10 + borg credit;100239 - Kapitein & Personeel B.V; 297,00 ;
07-10-2025;1601 - Btw verkoop, laag tarief (9%);Dieptol 63 Steenwijk  2025-10 + borg credit;100244 - Kapitan Workers Sp. Z.o.o.; 297,00 ;
06-10-2025;1600 - Btw verkoop, hoog tarief (21%);Dieptol 63 Steenwijk  2025-10 + borg credit;100239 - Kapitein & Personeel B.V; 162,75 ;
28-10-2025;1500 - Crediteuren;Orange borg Verschansin;50398 - Orange Investments Group B.V.;; 162,41 
06-10-2025;1600 - Btw verkoop, hoog tarief (21%);Pastoor Gillis straat 81a  Rijen 2025-08 + borg;50347 - Housing en Transport Facilities B.V.;; 206,85 
17-10-2025;1600 - Btw verkoop, hoog tarief (21%);Besterdring 6 Tilburg afrekening + borg;100151 - 4 Homes B.V.;; 90,17 
17-10-2025;1600 - Btw verkoop, hoog tarief (21%);Kerkweg 9a [huis 349] Hensbroek afrekening + borg;50314 - NL Realty B.V.; 30,14 ;
22-10-2025;1200 - Debiteuren;Middelrode 8  Rotterdam 2025-11  + borg;100089 - Uitzendbureau Bakker B.V.; 4.790,12 ;
14-10-2025;1200 - Debiteuren;Wilhelminastraat 8 Stavenisse borg retour;100139 - Horus Team Sp. Z.o.o.;; 2.500,00 
07-10-2025;1601 - Btw verkoop, laag tarief (9%);Kerkweg 9a [huis 348] Hensbroek 2025-10 + borg;100151 - 4 Homes B.V.;; 282,30 
28-10-2025;1500 - Crediteuren;Orange borg;50398 - Orange Investments Group B.V.;; 1.100,00 
17-10-2025;1200 - Debiteuren;Kerkweg 9a [huis 349] Hensbroek afrekening + borg;50314 - NL Realty B.V.;; 3.373,65 
06-10-2025;1200 - Debiteuren;Pastoor Gillis straat 81a  Rijen 2025-08 + borg debet;50347 - Housing en Transport Facilities B.V.; 6.984,98 ;
09-10-2025;1165 - Borg;Borg;50154 - OJP B.V.;; 4.568,00 
17-10-2025;1200 - Debiteuren;Kerkweg 9a [huis 357] Hensbroek afrekening + borg;50314 - NL Realty B.V.;; 3.483,65 
02-10-2025;1601 - Btw verkoop, laag tarief (9%);Jasmijnring 37 Zundert 2025-10 + borg;50170 - H.T.C. Facility Services B.V.;; 571,38 
06-10-2025;1600 - Btw verkoop, hoog tarief (21%);Dieptol 63 Steenwijk  2025-10 + borg;100244 - Kapitan Workers Sp. Z.o.o.;; 162,75 
07-10-2025;1600 - Btw verkoop, hoog tarief (21%);Groenelaan 30B Schiedam Borg + afrek gedeeltelijke credit;100177 - Flexbo B.V.; 62,58 ;
22-10-2025;1200 - Debiteuren;Kruiningenstraat 152 Rotterdam 2025-11 + borg;100155 - Light Personeelsdiensten BV; 5.621,00 ;
06-10-2025;1601 - Btw verkoop, laag tarief (9%);Dieptol 63 Steenwijk  2025-10 + borg;100244 - Kapitan Workers Sp. Z.o.o.;; 297,00 
06-10-2025;1000 - Kas;Dieptol 63 Steenwijk  2025-10 + borg;100239 - Kapitein & Personeel B.V; 7.834,75 ;
22-10-2025;1600 - Btw verkoop, hoog tarief (21%);Middelrode 8  Rotterdam 2025-11  + borg;100089 - Uitzendbureau Bakker B.V.;; 105,00 
17-10-2025;1200 - Debiteuren;Akkerweg 41 [huis 42] Den Oever afrekening + borg;100138 - Fareon Z Nederland;; 3.795,72 
28-10-2025;1500 - Crediteuren;Orange borg Verschansin;50398 - Orange Investments Group B.V.;; 2.470,00 
17-10-2025;1600 - Btw verkoop, hoog tarief (21%);Akkerweg 41 [huis 42] Den Oever afrekening + borg;100138 - Fareon Z Nederland;; 139,59 
07-10-2025;1600 - Btw verkoop, hoog tarief (21%);Plaats 10 Montfoort 2025-10 + borg;100137 - Estra Logistics Systems B.V.;; 134,40 
07-10-2025;1601 - Btw verkoop, laag tarief (9%);Groenelaan 30B Schiedam Borg + afrek gedeeltelijke credit;100177 - Flexbo B.V.; 225,00 ;
07-10-2025;1600 - Btw verkoop, hoog tarief (21%);Dieptol 63 Steenwijk  2025-10 + borg;100247 - Kajuit;; 162,75 
02-10-2025;1600 - Btw verkoop, hoog tarief (21%);Jasmijnring 37 Zundert 2025-10 + borg;50170 - H.T.C. Facility Services B.V.;; 152,25 
07-10-2025;1200 - Debiteuren;Dieptol 63 Steenwijk  2025-10 + borg credit;100244 - Kapitan Workers Sp. Z.o.o.;; 7.834,75 
17-10-2025;1601 - Btw verkoop, laag tarief (9%);Beeklaan 294 Den Haag afrekening + borg;50347 - Housing en Transport Facilities B.V.;; 104,97 
07-10-2025;1600 - Btw verkoop, hoog tarief (21%);Dieptol 63 Steenwijk  2025-10 + borg credit;100244 - Kapitan Workers Sp. Z.o.o.; 162,75 ;
17-10-2025;1600 - Btw verkoop, hoog tarief (21%);Kerkweg 9a [huis 342] Hensbroek afrekening + borg;50314 - NL Realty B.V.; 32,21 ;
06-10-2025;1600 - Btw verkoop, hoog tarief (21%);Pastoor Gillis straat 81a  Rijen 2025-08 + borg debet;50347 - Housing en Transport Facilities B.V.;; 206,85 
07-10-2025;1200 - Debiteuren;Kerkweg 9a [huis 348] Hensbroek 2025-10 + borg;100151 - 4 Homes B.V.; 7.657,04 ;
17-10-2025;1200 - Debiteuren;Kerkweg 9a [huis 348] Hensbroek afrekening + borg;100101 - JJM Personeel B.V.;; 3.465,45 
17-10-2025;1200 - Debiteuren;Beeklaan 294 Den Haag afrekening + borg;50347 - Housing en Transport Facilities B.V.; 972,92 ;
07-11-2025;1200 - Debiteuren;Zuidhoek 209D afrekening (Schade) + borg correctie;50394 - Gap Costruzioni Dutch Branch; 1.545,15 ;
06-11-2025;1000 - Kas;Dieptol 63 Steenwijk  2025-10 + borg;100244 - Kapitan Workers Sp. Z.o.o.; 7.834,75 ;
11-11-2025;1200 - Debiteuren;Akkerweg 41 [huis 014] Den Oever afrekening + borg;50314 - NL Realty B.V.;; 3.207,66 
11-11-2025;1601 - Btw verkoop, laag tarief (9%);Akkerweg 41 [huis 014] Den Oever afrekening + borg;50314 - NL Realty B.V.;; 21,58 
21-11-2025;1200 - Debiteuren;Bornerbroeksestraat 129A Almelo 2025-11 + borg;50444 - Team Unica B.V.; 3.966,53 ;
04-11-2025;1200 - Debiteuren;Kerkweg 9a [huis 357] Hensbroek 2025-10 + borg;50218 - Eastmen Human Resources B.V.; 3.886,56 ;
05-11-2025;1200 - Debiteuren;Westercluft 134 Steenwijk afrekening (schade) + borg;50152 - Interwel Oost B.V.;; 1.862,69 
05-11-2025;1600 - Btw verkoop, hoog tarief (21%);Kritostraat 54 Rotterdam 2025-11 + borg;100089 - Uitzendbureau Bakker B.V.;; 94,50 
03-11-2025;1000 - Kas;Groenelaan 30B Schiedam Borg + afrek;100177 - Flexbo B.V.; 1.088,86 ;
05-11-2025;1601 - Btw verkoop, laag tarief (9%);Bornerbroeksestraat 129A Almelo afrekening + borg;100105 - VALO Facilities B.V.;; 25,22 
18-11-2025;1200 - Debiteuren;Jasmijnring 37 Zundert afrekening + borg;50429 - EG Facility & Services BV;; 2.322,29 
21-11-2025;1600 - Btw verkoop, hoog tarief (21%);Schoonegge 84 Rotterdam 2025-12 + borg;50311 - Labour Housing BV;; 78,75 
05-11-2025;1601 - Btw verkoop, laag tarief (9%);kierkegaardhof 54 Huizen 2025-11 + borg;100137 - Estra Logistics Systems B.V.;; 120,72 
12-11-2025;1601 - Btw verkoop, laag tarief (9%);Piersonstraat 8 Schiedam 2025-12 + borg;50295 - Impes Service S.p.A.;; 71,16 
07-11-2025;1200 - Debiteuren;Zuidhoek 209D borg retour;100262 - GAP Costruzioni S.r.l.;; 2.950,00 
12-11-2025;1600 - Btw verkoop, hoog tarief (21%);Piersonstraat 8 Schiedam 2025-12 + borg;50295 - Impes Service S.p.A.;; 116,55 
14-11-2025;1600 - Btw verkoop, hoog tarief (21%);Akkerweg 41 [huis 38] Den Oever afrekening + borg;100195 - FISSH B.V.; 9,23 ;
05-11-2025;1200 - Debiteuren;Dieptol 63 Steenwijk afrekening (schade) + borg;50152 - Interwel Oost B.V.;; 2.734,01 
05-11-2025;1600 - Btw verkoop, hoog tarief (21%);kierkegaardhof 54 Huizen 2025-11 + borg;100137 - Estra Logistics Systems B.V.;; 116,55 
14-11-2025;1600 - Btw verkoop, hoog tarief (21%);Moureauveld 8 Roosendal 2025-12 + borg;100228 - I–Housing Vastgoed Beheer B.V.;; 134,40 
05-11-2025;1200 - Debiteuren;kierkegaardhof 54 Huizen 2025-11 + borg;100137 - Estra Logistics Systems B.V.; 4.533,64 ;
12-11-2025;1601 - Btw verkoop, laag tarief (9%);Zuidhoek 209D 2025-10 +borg credit;100089 - Uitzendbureau Bakker B.V.; 56,81 ;
06-11-2025;1200 - Debiteuren;Dieptol 63 Steenwijk  2025-10 + borg credit;100244 - Kapitan Workers Sp. Z.o.o.; 7.834,75 ;
14-11-2025;1200 - Debiteuren;Voeghoutenstraat 236 Klazienaveen borg retour;29 - Vivir Wonen;; 2.050,00 
19-11-2025;1600 - Btw verkoop, hoog tarief (21%);Kuipers-Rietbergpad 15 Hoogvliet afrekening + borg;50154 - OJP B.V.;; 90,99 
21-11-2025;1601 - Btw verkoop, laag tarief (9%);Zuidhoek 209D 2025-12 + borg;50311 - Labour Housing BV;; 191,74 
07-11-2025;1601 - Btw verkoop, laag tarief (9%);Ofwegen 1A Woubrugge afrekening + borg;50398 - Orange Investments Group B.V.;; 54,31 
04-11-2025;1600 - Btw verkoop, hoog tarief (21%);Rooseveltlaan 185 Bergen op zoom 2025-11 + borg;100259 - N2people B.V.;; 178,50 
07-11-2025;1600 - Btw verkoop, hoog tarief (21%);Zuidhoek 209D afrekening (Schade) + borg correctie;50394 - Gap Costruzioni Dutch Branch; 243,82 ;
11-11-2025;1601 - Btw verkoop, laag tarief (9%);Akkerweg 41 [huis 42] Den Oever afrekening + borg;50314 - NL Realty B.V.;; 24,08 
05-11-2025;1200 - Debiteuren;Verschansing 21 Rozenburg 2025-10 + borg;100153 - RNDV Industries; 5.369,25 ;
18-11-2025;1165 - Borg;Borg;50429 - EG Facility & Services BV; 2.800,00 ;
03-11-2025;1200 - Debiteuren;Groenelaan 30B Schiedam Borg + afrek gedeeltelijke credit;100177 - Flexbo B.V.; 1.088,86 ;
04-11-2025;1200 - Debiteuren;Rooseveltlaan 185 Bergen op zoom 2025-11 + borg;100259 - N2people B.V.; 7.538,69 ;
06-11-2025;1000 - Kas;Dieptol 63 Steenwijk  2025-10 + borg credit;100244 - Kapitan Workers Sp. Z.o.o.;; 7.834,75 
11-11-2025;1200 - Debiteuren;Akkerweg 41 [huis 42] Den Oever afrekening + borg;50314 - NL Realty B.V.;; 4.196,38 
04-11-2025;1601 - Btw verkoop, laag tarief (9%);Kerkweg 9a [huis 357] Hensbroek 2025-10 + borg;50218 - Eastmen Human Resources B.V.;; 17,75 
21-11-2025;1200 - Debiteuren;Schoonegge 84 Rotterdam 2025-12 + borg;50311 - Labour Housing BV; 7.281,19 ;
14-11-2025;1200 - Debiteuren;Akkerweg 41 [huis 38] Den Oever afrekening + borg;100195 - FISSH B.V.;; 2.653,17 
12-11-2025;1200 - Debiteuren;Zuidhoek 209D 2025-10 +borg credit;100089 - Uitzendbureau Bakker B.V.;; 3.693,04 
04-11-2025;1601 - Btw verkoop, laag tarief (9%);Rooseveltlaan 185 Bergen op zoom 2025-11 + borg;100259 - N2people B.V.;; 248,55 
07-11-2025;1600 - Btw verkoop, hoog tarief (21%);Zuidhoek 209D afrekening (Schade) + borg;50394 - Gap Costruzioni Dutch Branch;; 243,82 
05-11-2025;1600 - Btw verkoop, hoog tarief (21%);Bornerbroeksestraat 129A Almelo afrekening + borg;100105 - VALO Facilities B.V.;; 564,57 
21-11-2025;1601 - Btw verkoop, laag tarief (9%);Schoonegge 84 Rotterdam 2025-12 + borg;50311 - Labour Housing BV;; 277,22 
18-11-2025;1600 - Btw verkoop, hoog tarief (21%);Jasmijnring 37 Zundert afrekening + borg;50429 - EG Facility & Services BV;; 82,91 
21-11-2025;1200 - Debiteuren;Zuidhoek 209D 2025-12 + borg;50311 - Labour Housing BV; 5.327,15 ;
21-11-2025;1600 - Btw verkoop, hoog tarief (21%);Zuidhoek 209D 2025-12 + borg;50311 - Labour Housing BV;; 105,00 
21-11-2025;1600 - Btw verkoop, hoog tarief (21%);Van Maanenstraat 14A Rotterdam 2025-12 + borg;50311 - Labour Housing BV;; 94,50 
05-11-2025;1200 - Debiteuren;Kritostraat 54 Rotterdam 2025-11 + borg;100089 - Uitzendbureau Bakker B.V.; 4.325,94 ;
12-11-2025;1200 - Debiteuren;Piersonstraat 8 Schiedam 2025-12 + borg;50295 - Impes Service S.p.A.; 1.533,39 ;
05-11-2025;1600 - Btw verkoop, hoog tarief (21%);Dieptol 63 Steenwijk afrekening (schade) + borg;50152 - Interwel Oost B.V.;; 66,99 
11-11-2025;1600 - Btw verkoop, hoog tarief (21%);Akkerweg 41 [huis 014] Den Oever afrekening + borg;50314 - NL Realty B.V.; 46,69 ;
21-11-2025;1601 - Btw verkoop, laag tarief (9%);Van Maanenstraat 14A Rotterdam 2025-12 + borg;50311 - Labour Housing BV;; 106,52 
05-11-2025;1601 - Btw verkoop, laag tarief (9%);Kritostraat 54 Rotterdam 2025-11 + borg;100089 - Uitzendbureau Bakker B.V.;; 118,19 
05-11-2025;1601 - Btw verkoop, laag tarief (9%);Verschansing 21 Rozenburg 2025-10 + borg;100153 - RNDV Industries;; 15,65 
12-11-2025;1600 - Btw verkoop, hoog tarief (21%);Zuidhoek 209D 2025-10 +borg credit;100089 - Uitzendbureau Bakker B.V.; 105,00 ;
14-11-2025;1200 - Debiteuren;Moureauveld 8 Roosendal 2025-12 + borg;100228 - I–Housing Vastgoed Beheer B.V.; 6.283,57 ;
03-11-2025;1000 - Kas;Groenelaan 30B Schiedam Borg + afrek gedeeltelijke credit;100177 - Flexbo B.V.;; 1.088,86 
07-11-2025;1200 - Debiteuren;Ofwegen 1A Woubrugge afrekening + borg;50398 - Orange Investments Group B.V.;; 1.235,92 
21-11-2025;1200 - Debiteuren;Van Maanenstraat 14A Rotterdam 2025-12 + borg;50311 - Labour Housing BV; 3.634,58 ;
21-11-2025;1601 - Btw verkoop, laag tarief (9%);Bornerbroeksestraat 129A Almelo 2025-11 + borg;50444 - Team Unica B.V.;; 69,53 
03-11-2025;1200 - Debiteuren;Groenelaan 30B Schiedam Borg + afrek;100177 - Flexbo B.V.;; 1.088,86 
11-11-2025;1600 - Btw verkoop, hoog tarief (21%);Akkerweg 41 [huis 42] Den Oever afrekening + borg;50314 - NL Realty B.V.; 38,46 ;
21-11-2025;1600 - Btw verkoop, hoog tarief (21%);Bornerbroeksestraat 129A Almelo 2025-11 + borg;50444 - Team Unica B.V.;; 134,40 
04-11-2025;1600 - Btw verkoop, hoog tarief (21%);Kerkweg 9a [huis 357] Hensbroek 2025-10 + borg;50218 - Eastmen Human Resources B.V.;; 116,55 
05-11-2025;1600 - Btw verkoop, hoog tarief (21%);Westercluft 134 Steenwijk afrekening (schade) + borg;50152 - Interwel Oost B.V.;; 218,21 
19-11-2025;1200 - Debiteuren;Kuipers-Rietbergpad 15 Hoogvliet afrekening + borg;50154 - OJP B.V.;; 3.635,71 
07-11-2025;1600 - Btw verkoop, hoog tarief (21%);Ofwegen 1A Woubrugge afrekening + borg;50398 - Orange Investments Group B.V.;; 192,01 
05-11-2025;1600 - Btw verkoop, hoog tarief (21%);Verschansing 21 Rozenburg 2025-10 + borg;100153 - RNDV Industries;; 204,75 
14-11-2025;1601 - Btw verkoop, laag tarief (9%);Moureauveld 8 Roosendal 2025-12 + borg;100228 - I–Housing Vastgoed Beheer B.V.;; 223,69 
07-11-2025;1200 - Debiteuren;Zuidhoek 209D afrekening (Schade) + borg;50394 - Gap Costruzioni Dutch Branch;; 1.545,15 
06-11-2025;1200 - Debiteuren;Dieptol 63 Steenwijk  2025-10 + borg;100244 - Kapitan Workers Sp. Z.o.o.;; 7.834,75 
24-11-2025;1500 - Crediteuren;Orange borg;50398 - Orange Investments Group B.V.;; 1.365,00 
05-11-2025;1200 - Debiteuren;Bornerbroeksestraat 129A Almelo afrekening + borg;100105 - VALO Facilities B.V.; 1.058,40 ;
08-12-2025;1200 - Debiteuren;Schoonegge 84 Rotterdam 2025-12 + borg credit;50311 - Labour Housing BV;; 7.281,19 
05-12-2025;1601 - Btw verkoop, laag tarief (9%);Van Maanenstraat 14A Rotterdam 2025-12 + borg credit;50311 - Labour Housing BV; 106,52 ;
12-12-2025;1200 - Debiteuren;Wijngaard 66 lelystad 2026-1 + borg;50282 - DIT en Larex Vakpersoneel B.V.; 5.146,27 ;
08-12-2025;1601 - Btw verkoop, laag tarief (9%);Schoonegge 84 Rotterdam 2025-12 + borg credit;50311 - Labour Housing BV; 277,22 ;
08-12-2025;1200 - Debiteuren;Van Hoofsweg 4 Nieuw Vossemeer borg retour;100151 - 4 Homes B.V.;; 3.575,00 
18-12-2025;1601 - Btw verkoop, laag tarief (9%);Rooseveltlaan 185 Bergen op zoom afrekening + borg;50201 - DS People B.V.;; 43,92 
08-12-2025;1600 - Btw verkoop, hoog tarief (21%);Schoonegge 84 Rotterdam 2025-12 + borg credit;50311 - Labour Housing BV; 78,75 ;
05-12-2025;1200 - Debiteuren;Van Maanenstraat 14A Rotterdam 2025-12 + borg credit;50311 - Labour Housing BV;; 3.634,58 
12-12-2025;1600 - Btw verkoop, hoog tarief (21%);Wijngaard 66 lelystad 2026-1 + borg;50282 - DIT en Larex Vakpersoneel B.V.;; 411,54 
05-12-2025;1600 - Btw verkoop, hoog tarief (21%);Van Maanenstraat 14A Rotterdam 2025-12 + borg credit;50311 - Labour Housing BV; 94,50 ;
18-12-2025;1200 - Debiteuren;Rooseveltlaan 185 Bergen op zoom afrekening + borg;50201 - DS People B.V.;; 1.981,45 
18-12-2025;1600 - Btw verkoop, hoog tarief (21%);Rooseveltlaan 185 Bergen op zoom afrekening + borg;50201 - DS People B.V.;; 101,82 
